BAE,Industri,Email,Fax,Papan_Pencatatan,Telepon
PT. Bima Registra,Mesin,corsec@aritaglobal.co.id,(62-21) 6516107,Pengembangan,(62-21) 6519188
PT. Adimitra Jasa Korpora,Barang Kimia,sec@asiaplast.co.id,021-5901464,Utama,021-5901465
PT. Datindo Entrycom,Logam & Mineral,corsec@archimining.com,+62 21 576 1720,Utama,+62 21 576 1719
PT. EDI Indonesia,Pakaian & Barang Mewah,corp-secretary@argopantes.com,(021) 2520029,Pengembangan,(021) 2520065-(021) 2520068
PT. Datindo Entrycom,Batu Bara,corsec@atlas-coal.co.id,021-71792708,Pengembangan,021-7193343
PT. Adimitra Jasa Korpora,Mesin,corporate.secretary@arkhajayanti.co.id,Fax : 021-87916364,Pengembangan,021 - 87918903
PT. Adimitra Jasa Korpora,Utilitas Listrik,corporate.secretary@arkora.com,+62 21-29333-298,Pengembangan,+62 21-29333-288
PT. Ficomindo Buana Registrar,Pengelola & Pengembang Real Estat,yudi@armidian.co.id,215213412,Pengembangan,215226810
PT. Adimitra Jasa Korpora,Produk & Perlengkapan Bangunan,corsec@arwanacitra.com,(021) 58302361,UTAMA,(021) 58302363
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,corpsec@arthavest.com,021-3453075,PENGEMBANGAN,021-31116101
PT. Ficomindo Buana Registrar,Bank,corporate.communications@jago.com,021-50927479 & 021-50927499,Pengembangan,021-50927460 & 021-50927490
PT. Bima Registra,Asuransi,jenry.cardo@asuransibintang.com,7590 2555,Pengembangan,7590 2777
PT. Datindo Entrycom,Asuransi,csecretary@dayinmitra.com ,021-3453457,Utama,021-80868888
PT. Raya Saham Registra,Jasa Komersial,melinda.pudjo@astragraphia.co.id,021 - 3909388 ,Utama,021 - 3909190
PT. Raya Saham Registra,Perusahaan Holding Multi-sektor,Gita.TiffanyBoer@ai.astra.co.id,(021) 6530-4957,Utama,(021) 508 43 888
PT. Raya Saham Registra,Ritel Khusus,corporate.secretary@autopedia.id,(021) 6530 8822,Pengembangan,(021) 6530 8811
PT. EDI Indonesia,Pengelola & Pengembang Real Estat,info@ansa-land.com,(62-21) 290 37545,Pengembangan,(62-21) 250 6789
PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,corsec@alam-sutera.com,252 5050,Utama,252 3838
PT BSR Indonesia,Asuransi,yoyok.setio@ramayanains.com,3193 4825,Pengembangan,3193 7148
PT. Adimitra Jasa Korpora,Perangkat Komputer,corporatesecretary@terra.co.id,+6221 22461001,Pengembangan,+6221 22461001
PT. Adimitra Jasa Korpora,Material Konstruksi,corpsec@agroyasalestari.com,021-3918838,Pengembangan,021-3918838
PT BSR Indonesia,Bank,bank@mncbank.co.id,3983-6700,Pengembangan,2980-5555
PT. Adimitra Jasa Korpora,Logam & Mineral,team_scb@yahoo.com,(62-21) 601-1933,Pengembangan,(62-21) 628-8647
PT. Sharestar Indonesia,Bank,corsec@aladinbank.id,+62 21 3970 8007,Pengembangan,+62 21 3970 8008
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corporatesecretary@bekasiasripemula.co.id,5687232,Utama,563 6913
PT. Bima Registra,Pakaian & Barang Mewah,id.corporate-secretary@bata.com,(021) 750-5354,Utama,(021) 750-5353
PT. Adimitra Jasa Korpora,Ritel Khusus,corpsec@masworkspace.co.id,(021) 2229 3755,Pengembangan,(021) 2229 3554
PT. EDI Indonesia,Pariwisata & Rekreasi,office@bayubuanatravel.com,3459535,PENGEMBANGAN,23509999
PT. Datindo Entrycom,Bank,corsec@allobank.com,(021) 3841022,3851023,Pengembangan
PT. Raya Saham Registra,Bank,corsec@bankmestika.co.id,061-4527324,Utama,061-4525800
PT. Datindo Entrycom,Batu Bara,corpsec@bbr.co.id ,(021) 295 294 62 ,Utama,(021) 295 294 61
PT. Sinartama Gunita,Bank,cosec@bankbisnis.id,(62-22) 2501819,Pengembangan,(62-22) 2501787
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corsec@bumibenowo.com,+62 31 566 2800,Pengembangan,+62 31 561 2227 / 565 2277
PT BSR Indonesia,Perusahaan Holding & Investasi,corsec.mncfinancialservices@mncgroup.com,021-39836886,Utama,021-29709700
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corsec@bumicitrapermai.com,(021) 3193 5557,Pengembangan,(021) 391 6338
PT. Adimitra Jasa Korpora,Makanan Olahan,corporatesecretary@estikafood.com,021- 527 4289,Pengembangan,021-527 4257
PT. Bima Registra,Pakaian & Barang Mewah,corsec@trisula.com,226613377,Pengembangan,226613333
PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,corsec@befa.id,(021) 252-0087,Utama,(021) 252-5334
PT. Datindo Entrycom,Bank,corpsect@bankganesha.co.id,-29103771,Pengembangan,+6221-29109900 (Hunting)
PT. Sharestar Indonesia,Asuransi,cs@bhaktimultiartha.co.id ,(+6221) 27098077,Pengembangan,(+6221) 27097677
PT BSR Indonesia,Perusahaan Holding Multi-sektor,corsec.mnc-corporation@mncgroup.com,021-39836886,Utama,021-29709700
PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,corpsec@binakaryagroup.co.id,021-54360391 ,Pengembangan,021-54360381
PT. Adimitra Jasa Korpora,Peralatan Olah Raga & Barang Hobi,corsec@sepedabersamaindonesia.co.id,(+62-21) 3005 2622,Pengembangan,(+62-21) 3005 2633
PT. Sirca Datapro Perdana,Pakaian & Barang Mewah,tax@primarindo.com,(021) 3148317,Pengembangan,(022) 7560555
PT. Raya Saham Registra,Bank,corp_sec@bankina.co.id,021 2525117,Utama,021 2525678
PT. Bima Registra,Jasa Komersial,corporate@bantex.co.id,(021) 4516178,Pengembangan,(021) 4507929
PT. Ficomindo Buana Registrar,Batu Bara,corsec@astrindonusantara.com,021- 5081 5253,Pengembangan,021-5081 5252
PT. Sirca Datapro Perdana,Pengelola & Pengembang Real Estat,corsecbipp@bipp.co.id,252-2532,Pengembangan,021-252-2535
PT. Datindo Entrycom,Pengangkutan Darat Penumpang,corsec@bluebirdgroup.com,021-54394802,Utama,021-54394000
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,setiadi@tanindo.com,(031) - 7886868,Utama,(031) - 7882528
PT. Datindo Entrycom,Bank,iru@bankjatim.co.id,(031) 5310838,Utama,(031) 5310090-99 ext.463
PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,corporatesecretary@bukitdarmoproperty.com ,021 3517008 , 031 7326666,Pengembangan
PT. Sirca Datapro Perdana,Pengelola & Pengembang Real Estat,corsec@sentulcity.co.id,87961036, ,Utama
PT. Sinartama Gunita,Logistik & Pengantaran,kevinwong@blt.co.id, peter.chayson@blt.co.id, krisnanto@blt.co.id,+62 21 - 30060389
PT. Datindo Entrycom,Pariwisata & Rekreasi,corpsec@cgv.id,021-22536020,Pengembangan,021-2253 6090
PT. Datindo Entrycom,Jasa Komersial,corsec@blueprint-indonesia.com,021-65302042,Pengembangan,021-6413435/ 6413436
PT. Adimitra Jasa Korpora,Bank,corsec@bankmaspion.co.id,031-5356122,Pengembangan,031-5356123
PT. Datindo Entrycom,Penyedia Jasa Kesehatan,corsec@bmhs.co.id,(62-21) 3190-5915,Utama,(62-21) 3192-3344
PT. Sirca Datapro Perdana,Barang Kimia,ristia08@indonet.net.id,021-2522589,Utama,021-2522586
PT. Adimitra Jasa Korpora,Bank,lyvinia_sari@bankbba.co.id,310-2632,Utama,2300-455
PT. EDI Indonesia,Perusahaan Holding Multi-sektor,management@bakrie.co.id,+62 21 2991 2333,Pengembangan,+62 21 2991 2222
PT. Adimitra Jasa Korpora,Makanan Olahan,formosaingredient@gmail.com,(021) 2904 7378,Pengembangan,(021) 2222 8975
PT. Sharestar Indonesia,Ritel Khusus,cs@bintangotoglobal.com,0341-299051,Pengembangan,0341-363499
PT. Raya Saham Registra,Pariwisata & Rekreasi,corporate.secretary@baliutd.com,0,Pengembangan,0361-3700019
PT. Adimitra Jasa Korpora,Batu Bara,corsec@bosscoal.com,(021) 536 1227,Pengembangan,(021) 535 9777
PT. Adimitra Jasa Korpora,Perusahaan Holding & Investasi,corsec@bps.co.id,021-5200227,Pengembangan,021-5200180
PT. Adimitra Jasa Korpora,Pengangkutan Darat Penumpang,corpsec@bataviarent.com,53191918,Utama,53191717
PT. EDI Indonesia,Komponen Otomotif,reyvia.fitri@kordsa.com, +62 21 87912252 ,Utama,+61 21 8752115
PT. Datindo Entrycom,Bank,corporate.secretary@bankbsi.co.id,+62 21 30421888,Utama,+62 21 30405999
PT. Ficomindo Buana Registrar,Logam & Mineral,corporate.secretary@brm.co.id,021-57945687,Pengembangan,021-57945698
PT. Datindo Entrycom,Batu Bara,corsec@bssr.co.id ,(021)63851334,Pengembangan,(021)63853228 / (021)63851334
PT. Adimitra Jasa Korpora,Bank,corporate@boiindonesia.co.id,021-3808178,Pengembangan,021-3500007
PT. Ficomindo Buana Registrar,Produk Makanan Pertanian,corporate@btek.ci.id,-8567670,Pengembangan,-8192948
PT. Ficomindo Buana Registrar,Jasa Telekomunikasi Nirkabel,corsec@bakrietelecom.com,021 - 57945751,Pengembangan,021 - 91101112
PT. Ficomindo Buana Registrar,Logam & Mineral,secretary@bjm.co.id,031- 7490581-750 7302,Pengembangan,031-749-05-98
PT. Sinartama Gunita,Makanan Olahan,mawarti.wongso@budistarchsweetener.com,"021-5213339, 5213392",Utama,021-5213383
PT BSR Indonesia,Konstruksi Bangunan,corsec@bukaka.com,021 8231150 ,Pengembangan,021 8232323 (hunting)
PT. Ficomindo Buana Registrar,Minyak & Gas,investor@bull.co.id,6221 - 30485701,Pengembangan,6221 - 30485700
PT. Ficomindo Buana Registrar,Batu Bara,dileep@bumiresources.com,021- 57942070,Pengembangan,(021) 57942080
PT. EDI Indonesia,Pariwisata & Rekreasi,corsec@buvagroup.com,Kantor Cabang: 021-5256517,Pengembangan,Kantor Cabang: 021-5256516
PT BSR Indonesia,Produk Makanan Pertanian,corsec@eaglehighplantations.com,"021 29783081, 29783082",Utama,021 29783093
PT. Raya Saham Registra,Batu Bara,corporate.secretary@bayan.com.sg,021-2935 6999,Utama,021-2935 6888
PT. Adimitra Jasa Korpora,Makanan Olahan,corsec@campina.co.id,(031) 843-9232,Utama,(031) 843-2247
PT. Adimitra Jasa Korpora,Batu Bara,office@cani.co.id,0541 ? 732891/ 738324,Pengembangan,0541-732893/ 732897/ 731898/ 741921
PT. Sharestar Indonesia,Penyedia Jasa Kesehatan,cs@metrohealthcareindonesia.co.id,+62 21 5964 7871,Pengembangan,+62 21 5964 7937
PT. Raya Saham Registra,Ritel Khusus,investor.relation@bintracodharma.com,(+6221) 22356801,Utama,(+6221) 22356800
PT. Sinartama Gunita,Perusahaan Holding & Investasi,corporate@capitalfinancial.co.id,(62) (21) 2708 2001,Pengembangan,(62) (21) 2708 2002
PT. Datindo Entrycom,Operator Infrastruktur Transportasi,corporatesecretary@pt-cas.com,(021) 80885001,Pengembangan,(021) 80885050
PT. Adimitra Jasa Korpora,Barang Rumah Tangga,corsec@cbm-furniture.com,+6261 785226,Pengembangan,+6261 7852277
PT. Adimitra Jasa Korpora,Kelistrikan,corsec@ccsi.co.id,021-29865984,Pengembangan,021-29865963
PT. Adimitra Jasa Korpora,Makanan Olahan,Emmanuel Dwi Iriyadi <dwi.iriyadi@id.wilmar-intl.com>,021 - 8937143,Utama,"021- 89830003, 89830004"
PT. Datindo Entrycom,Jasa Telekomunikasi Nirkabel,cti@centratamagroup.com,021 - 2967 8241,Pengembangan,021 - 2967 8240
PT. Blue Chip Mulia,Pembiayaan Konsumen,corporate_secretary@clipan.co.id,021-5308026,Utama,021-5308005
PT. Sinartama Gunita,Barang Kimia,corp.sec@chemstarindonesia.com,(62-264) 8222 817,Pengembangan,(62-264) 8222 823 / 824
PT. Ficomindo Buana Registrar,Logam & Mineral,corsec@citamineral.com,021-72789885,Pengembangan,021-7251344
PT. Bima Registra,Pengelola & Pengembang Real Estat,corsec@naturacity.co.id,+62 21 87953449,Utama,+62 21 87953448
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,corporate.secretary@cpr.co.id,021-31996267,Pengembangan,"021-29069370, 021-31996270"
PT. Bima Registra,Minuman,corsec@tanobelfood.com,031 ? 8544574,Utama,031 ? 8544400
PT. Sinartama Gunita,Barang Kimia,herlina@colorpak.co.id,021  - 590-1963 ,PENGEMBANGAN,021-590-19-62
PT. Raya Saham Registra,Operator Infrastruktur Transportasi,cmnp@citra.co.id,(021) 65306391,Utama,(021) 65306930 (hunting)
PT. Ficomindo Buana Registrar,Material Konstruksi,investor@cemindo.com,(021) 21889991,Utama,(021) 21889999
PT. Bima Registra,Maskapai Penerbangan,iaa_corporatesecretary@airasia.com,(021) 29850889,Pengembangan,(021) 29850888
PT. Datindo Entrycom,Makanan Olahan,corsec@cimory.com,+62 21 5874630,Utama,+62 21 5874630
PT. Sinartama Gunita,Batu Bara,wim.andrian@energigroupindonesia.com,021-80511134,Pengembangan,021-80511130
PT. Adimitra Jasa Korpora,Batu Bara,corporate@blackdiamondtbk.com ,(021) 22958324,Pengembangan,(021)22958323
PT. Sinartama Gunita,Makanan Olahan,corsec@wahana-interfood.com,+62 22 6033265,Pengembangan,+62 22 6011375
PT. Bima Registra,Pengelola & Pengembang Real Estat,corsec@cowelldev.com,386 2919,Pengembangan,386 7868
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,hadijanto@cp.co.id,021-690 7324,UTAMA,021-691 9999
PT. Ficomindo Buana Registrar,Pengelola & Pengembang Real Estat,corsec@caprinusa.com,(021) 8632 822,Pengembangan,(021) 8606 151
PT. Bima Registra,Produk Makanan Pertanian,armand.ardika@cpp.co.id,50191808,Pengembangan,50191788
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,corsec@tobasurimi.com,+62 616871007,Pengembangan,+62 616871022
PT. Datindo Entrycom,Ritel Khusus,corsec@csahome.com,566-9445,Utama,566-8801
PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,corporate.secretary@csis.co.id,0251 8666 875,Pengembangan,0251 8666 873/874
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,texas@texaschicken.co.id,(021) 314 0037,Pengembangan,(021) 314 0411
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,corpsec@csr.co.id,(021) 66673310-11,Utama,(021) 66673312-15
PT. Raya Saham Registra,Logam & Mineral,corsec@citratubindo.co.id,(021) 5712317,Utama,(021) 5250609
PT. EDI Indonesia,Pengelola & Pengembang Real Estat,investor@ciputra.com,(021) 2988-8585,Utama,(021) 2988-5858
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,info@diamondland.co.id,(021) 29415959,Pengembangan,(021) 29415959
PT. Datindo Entrycom,Perdagangan Ritel Barang Primer,corporate.secretary@watsons.co.id,021-2128-3002,Pengembangan,021-2128-3001
PT. Raya Saham Registra,Jasa & Konsultan TI,corpsec@dci-indonesia.com,+62 21 2903 7600,Pengembangan,+62 21 2903 7500
PT. Sinartama Gunita,Logistik & Pengantaran,corsec@dfilogistics.com,+62 (021) 29677799,Pengembangan,+62 (021) 29688899
PT. Adimitra Jasa Korpora,Pembiayaan Konsumen,danasupra@cbn.net.id,+62 21 51401159,Pengembangan,+62 21 51401157
PT. Bima Registra,Ritel Khusus,corp.secretary@depobangunan.co.id,021?53120707,Utama,021?53120808
PT. Adimitra Jasa Korpora,Konstruksi Bangunan,corporate@nusakonstruksi.com,7396580,Utama,7221003
PT. Bima Registra,Media,investor@arkadiacorp.com,+62 21 7241887,Pengembangan,+62 21 7241888
PT. Adimitra Jasa Korpora,Aplikasi & Jasa Internet,corporate@ptdvn.com,+6221 30480713,Pengembangan,+6221 30480712
PT. Sinartama Gunita,Logam & Mineral,	021-515 3533,	021-515 3533,Pengembangan,	021-515 3533
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,corsec@deltamas.co.id,(62) (21) 89972028,Utama,(62) (21) 89971188
PT. Adimitra Jasa Korpora,Jasa & Konsultan TI,corporate@dmmgroup.id,(021) 30480713,Pengembangan,(021) 3048010
PT. Ficomindo Buana Registrar,Bank,corsec@okbank.co.id,021-2312604,Utama,021-2312633
PT. Raya Saham Registra,Perusahaan Holding & Investasi,corsec@indoritel.co.id,021-29410701,Pengembangan,021- 29410709
PT. Datindo Entrycom,Barang Kimia,dpns_id@yahoo.com,(021) 522-6779,Utama,021-522-67-28
PT. Raya Saham Registra,Produk Makanan Pertanian,info@duaputra.co.id,(0295) 4199 014,Pengembangan,(0295) 4199 010/11
PT. Raya Saham Registra,Komponen Otomotif,dp.corpsec@dp.dharmap.com,(021) 899 01656,Utama,021) 897 4637 / (021) 897 4559
PT. Sinartama Gunita,Batu Bara,corsec@dss.co.id,021-31990259,Utama,021-31990258
PT. Datindo Entrycom,Pariwisata & Rekreasi,duckkingjbi@theduckking.com,+62 21 30067858,Pengembangan,+62 21 58901634
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,corporate.secretary@sinarmasland.com,021 - 50588270,Pengembangan,021 - 50368368
PT. Sirca Datapro Perdana,Farmasi,info@darya-varia.com,021 227 68016,Utama,021 227 68000
PT. Sinartama Gunita,Batu Bara,corporate.secretary@dwigunalaksana.co.id ,2180511144,Pengembangan,2180511142
PT. Raya Saham Registra,Jasa Komersial,corsec@dyandramedia.com,2131996277,Utama,2153673111
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,corp.secretary@eastparchotel.com,"6,23E+11",Pengembangan,"6,23E+11"
PT. Ficomindo Buana Registrar,Ritel Khusus,corporatesecretary@electronic-city.co.id,021 515 5919,PENGEMBANGAN,021 5151177
PT. Adimitra Jasa Korpora,Aplikasi & Jasa Internet,corporate.secretary@indonet.id,(021) 7388 2626,Pengembangan,(021) 7388 2525
PT. Adimitra Jasa Korpora,Barang Kimia,liephing@ekadharma.com,021-5883091,Utama,021-5883090
PT. Adimitra Jasa Korpora,Logistik & Pengantaran,corsec@pnep.co.id ,(+62) 31 - 568 0122,Utama,(+62) 31 - 568 0121
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,info@bakrieland.com,5225063,Pengembangan,5257835
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corporate.secretary@megapolitan-group.com,30019939,Pengembangan,30019938
PT. Raya Saham Registra,Aplikasi & Jasa Internet,corsec@emtek.co.id,021-7278 2194,Utama,021-7278 2066
PT. Datindo Entrycom,Pariwisata & Rekreasi,corpsec@champ-group.com,"6,22E+11",Pengembangan,"6,22E+11"
PT. Ficomindo Buana Registrar,Minyak & Gas,corsec@emp.id,021-29941247,Pengembangan,021-29941540
PT. Sinartama Gunita,Jasa & Konsultan TI,widiani.resi@gmail.com,+6221 5760784 ,Pengembangan,"+6221 5760782, + 6221 5760783"
PT. Sinartama Gunita,Wadah & Kemasan,corsec@epack.co.id,021 2966 7099,Pengembangan,021 2966 7018
PT. Adimitra Jasa Korpora,Perdagangan Ritel Barang Primer,investor.relations@enseval.com,(021) 460 9039,Pengembangan,(021) 46822422
PT. Raya Saham Registra,Ritel Khusus,dl-corsec@erajaya.com,021-69831225,Utama,021-6905050
PT. Sharestar Indonesia,Pakaian & Barang Mewah,corpsec@eratex.co.id,(62-31) 9900 1115,Pengembangan,(62-31) 9900 1101 (hunting)
PT. Datindo Entrycom,Barang Kimia, corpsec.sep@essa.id , +62-21-29885601 ,Utama, +62-21-29885600
PT. Bima Registra,Pariwisata & Rekreasi,corpsec@estamultiusaha.co.id,+ 62 21 6083 4568,Pengembangan,+62 21 6083 4569
PT. Raya Saham Registra,Pakaian & Barang Mewah,erlien@evershinetex.com,021 - 3160271,3160260,UTAMA
PT. Raya Saham Registra,Bahan Bakar Alternatif,corsec@eterindo.com,021-252 8090,Pengembangan,021-252 8080
PT. Bima Registra,Produk Perawatan Tubuh,corsec@esteegoldaerosol.com,021-5451944,Akselerasi,021-6190528
PT. Datindo Entrycom,Wadah & Kemasan,legalfasw@fajarpaper.com,021 - 3457643,Utama,021 - 3441316 / HP Corsec : 081398802173 (Marco)
PT. Adimitra Jasa Korpora,Hiburan & Film,corporatesecretary@mdpictures.co,(62-21) 29055777,Utama,(62-21) 29855777
PT. Bima Registra,Konstruksi Bangunan,info@fimperkasautama.co.id,021-3100074,Akselerasi,021-3100074
PT. Adimitra Jasa Korpora,Batu Bara,corsec@alfacentra.com,2175930552,Pengembangan,217246966
PT BSR Indonesia,Produk Makanan Pertanian,corporate.secretary@fksmultiagro.co.id,021 5088 9890,Pengembangan,021 5088 9889
PT. Bima Registra,Pariwisata & Rekreasi,corsec.hotelfitra@gmail.com,(0233) 8291888,PENGEMBANGAN,(0233) 8292888
PT. Adimitra Jasa Korpora,Produk Perawatan Tubuh,corporate@falmaco.com,(022) 686 6806,Akselerasi,(022) 686 6808
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,corsec@fmiindo.com ,(031) 562-09-68 ,Pengembangan,(031) 561-28-18 (hunting)
PT. Sinartama Gunita,Makanan Olahan,secretary@sentrafood.co.id,(021) 29035297,Pengembangan,(021) 29055295
PT. Sinartama Gunita,Media,corsec@foru.co.id,7884-7524,Pengembangan,782-7989
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corporate@forzaland.com,(021) 5366 1752,Pengembangan,(021) 5366 9777
PT. Sinartama Gunita,Jasa Telekomunikasi Nirkabel,corpsec.division@smartfren.com,+62 21 3156853,Utama,+62 21 50278888
PT. Sinartama Gunita,Pembiayaan Konsumen,fuji.finance.indonesia@gmail.com,(021) 5226518,PENGEMBANGAN,(021) 5226509
PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,info@gadingdevelopment.com,(021) 29333520,Utama,(021) 29333521
PT. Bima Registra,Komponen Otomotif,corpsec_id@goodyear.com,0251-8328088,Utama,0251-8322071
PT. Sinartama Gunita,Batu Bara,corsec@goldenenergymines.com,021-31990319,Utama,2150186888
PT. Adimitra Jasa Korpora,Logam & Mineral,gsg@gunungsteel.com,(021) 890 0555,Pengembangan,(021) 890 0111
PT. Datindo Entrycom,Komponen Otomotif,gajahjak@gt-tires.com,dradjat.tribrata@gt-tires.com,021 - 3805663,Utama
PT. Raya Saham Registra,Specialty Retail,djoko@globalteleshop.co.id,021-3915671,PENGEMBANGAN,021-31905997
PT. Datindo Entrycom,Operator Infrastruktur Transportasi,corporatecommunications@gmf-aeroasia.co.id,55010461,Pengembangan,550 8717
PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,corporate.secretary@tanjungbunga.com,0411-8113494,Pengembangan,0411-8113456
PT. Datindo Entrycom,Jasa Telekomunikasi Nirkabel,corporatesecretary@ptvti.co.id,(+6221) 83707370,PENGEMBANGAN,(+6221) 83707370
PT. Sinartama Gunita,Produk Makanan Pertanian,corporate.secretary@goldenplantation.com,2150927305,Pengembangan,2150927304
PT. Datindo Entrycom,Makanan Olahan,corporate.secretary@garudafood.co.id ,217290112,Utama,217290110
PT. Datindo Entrycom,Aplikasi & Jasa Internet,corpsecretary@gotocompany.com dan ir@gotocompany.com,(021) 2709 7877,Utama,(021) 2910 1072
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,corsecgpra@gapuraprima.com ,(021) 5367.1616/5366.8370,Utama,(021) 536 71717
PT. Adimitra Jasa Korpora,Mesin,corsec@geoprima.co.id,(+62-21) 458 4124,Pengembangan,(+62-21) 4585 0667/68
PT. Datindo Entrycom,Perusahaan Holding & Investasi,secretary@theequityone.com,021-2313285,Pengembangan,021-80632550
PT. Datindo Entrycom,Batu Bara,corporate.secretary@gtb-indonesia.com,021- 7942650,Pengembangan,021- 7943947
PT. EDI Indonesia,Minyak & Gas,corpsec@gtsi.co.id,(021) 50966343,Utama,(021) 50933163
PT. Bima Registra,Makanan Olahan,secretary@amanagrindo.co.id,(024) 8444821,Pengembangan,(024) 8451639
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,pr@greenwoodsejahtera.com,2598-4578,UTAMA,2598-4969
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,corporate@gozco.com,021- 29755556,Utama,021- 29755555
PT. Adimitra Jasa Korpora,Logistik & Pengantaran,corsec.his@hasnurgroup.com,(62-21) 29343777,Utama,(62-21) 29343888
